country,change
Afghanistan,92.66
Albania,22.23
Algeria,62.98
Angola,59.48
Antigua and Barbuda,21.94
Argentina,17.24
Armenia,12.13
Aruba,14.61
Australia,16.64
Austria,17.87
Azerbaijan,18.54
Bahamas,13.45
Bahrain,41.35
Bangladesh,55.34
Barbados,20.13
Belarus,8.07
Belgium,16.20
Belize,21.94
Benin,60.97
Bhutan,102.49
Bolivia,67.66
Bosnia and Herzegovina,25.33
Botswana,38.08
Brazil,37.26
Brunei Darussalam,33.30
Bulgaria,7.87
Burkina Faso,72.96
Burundi,46.15
Cabo Verde,48.70
Cambodia,67.53
Cameroon,37.92
Canada,14.83
Central African Republic,41.99
Chad,40.07
Channel Islands,16.92
Chile,37.93
China,71.28
Colombia,32.20
Comoros,51.78
Congo,45.36
Costa Rica,29.94
Cote d'Ivoire,51.99
Croatia,19.36
Cuba,20.99
Cyprus,15.02
Czech Republic,13.24
Denmark,11.94
Djibouti,48.32
Dominican Republic,39.43
Ecuador,41.96
Egypt,46.18
El Salvador,42.61
Equatorial Guinea,56.96
Eritrea,66.13
Estonia,13.82
Eswatini,34.01
Ethiopia,66.81
Fiji,9.54
Finland,19.18
France,17.65
French Polynesia,35.68
Gabon,63.18
Gambia,88.97
Georgia,14.16
Germany,16.07
Ghana,36.59
Greece,18.72
Grenada,14.78
Guam,28.83
Guatemala,55.11
Guinea,73.50
Guinea-Bissau,52.47
Guyana,15.09
Haiti,49.47
Honduras,57.67
Hong Kong,24.71
Hungary,12.08
Iceland,12.40
India,62.81
Indonesia,49.36
Iran,66.01
Iraq,39.76
Ireland,17.28
Israel,18.06
Italy,20.53
Jamaica,13.60
Japan,22.77
Jordan,37.23
Kazakhstan,23.57
Kenya,38.05
Kiribati,41.70
Korea,38.44
Kuwait,23.93
Kyrgyz Republic,25.26
Lao PDR,54.30
Latvia,7.71
Lebanon,23.49
Lesotho,11.00
Liberia,82.55
Libya,58.67
Liechtenstein,81.18
Lithuania,9.53
Luxembourg,19.27
Macao,27.92
Madagascar,62.94
Malawi,71.58
Malaysia,24.56
Maldives,103.91
Mali,106.39
Malta,18.17
Mauritania,41.17
Mauritius,22.74
Mexico,28.87
Micronesia,22.31
Moldova,14.45
Mongolia,38.86
Montenegro,17.78
Morocco,55.06
Mozambique,49.52
Myanmar,53.48
Namibia,32.15
Nepal,93.85
Netherlands,11.58
New Caledonia,29.79
New Zealand,14.92
Nicaragua,53.85
Niger,76.09
Nigeria,43.47
North Macedonia,22.33
Norway,12.68
Oman,75.20
Pakistan,42.62
Panama,26.58
Papua New Guinea,59.99
Paraguay,15.26
Peru,55.44
Philippines,14.93
Poland,15.09
Portugal,26.88
Puerto Rico,15.38
Qatar,27.93
Romania,12.43
Russian Federation,8.41
Rwanda,58.84
Samoa,27.34
Sao Tome and Principe,36.44
Saudi Arabia,60.72
Senegal,75.93
Sierra Leone,68.13
Singapore,25.16
Slovak Republic,9.64
Slovenia,17.98
Solomon Islands,46.40
Somalia,51.08
South Africa,29.94
South Sudan,76.97
Spain,20.01
Sri Lanka,27.64
St. Lucia,30.17
St. Vincent and the Grenadines,19.75
Sudan,32.75
Suriname,18.54
Sweden,12.55
Switzerland,17.64
Syrian Arab Republic,34.98
Tajikistan,38.34
Tanzania,47.36
Thailand,38.01
Timor-Leste,99.42
Togo,46.13
Tonga,16.67
Trinidad and Tobago,16.41
Tunisia,76.48
Turkey,65.36
Turkmenistan,23.04
Uganda,38.23
Ukraine,3.52
United Arab Emirates,45.25
United Kingdom,14.56
United States,12.01
Uruguay,14.04
Uzbekistan,20.11
Vanuatu,40.56
Venezuela,18.42
Vietnam,24.72
Virgin Islands (U.S.),19.22
Yemen,116.71
Zambia,33.86
Zimbabwe,13.44